1742399310.4482362,434240000,-29.73,21.52
1742399310.449127,434242000,-28.34,24.75
1742399310.450293,434244000,-29.18,24.27
1742399310.4512203,434258000,-31.56,20.27
1742399310.4522135,434260000,-29.77,21.35
1742399310.4531503,434262000,-30.55,20.37
1742399522.4833653,434804000,-39.10,20.26
1742400166.246709,433252000,-37.50,22.14
1742400219.0545099,434894000,-42.78,23.62
1742401071.9825077,433550000,-37.77,20.55
1742401091.5007572,434260000,-28.67,24.29
1742401091.5014172,434262000,-28.78,22.08
1742401213.161103,433206000,-44.71,21.19
1742401316.5899274,434422000,-36.92,20.53
1742401316.5906093,434424000,-37.50,20.03
1742401544.1792796,433768000,-39.64,20.60
1742401544.180266,433770000,-41.86,20.73
1742402846.7009435,433452000,-37.32,21.86
1742403354.2909667,434422000,-39.08,21.87
1742403461.3597739,433540000,-41.57,20.54
1742403715.9018798,434498000,-40.70,20.15
1742404231.4754899,433158000,-40.87,20.03
1742404359.0966208,433966000,-40.39,20.55
1742404378.87892,433888000,-33.19,20.83
1742404378.8800316,433890000,-32.48,20.33
1742404571.3778095,432986000,-43.36,20.62
1742404821.174619,434484000,-38.82,21.67
1742405092.7851036,433268000,-39.04,20.76
1742405287.4762506,433748000,-40.73,21.14
1742405324.980874,433816000,-38.30,21.09
1742405739.186416,433346000,-42.24,20.01
1742405746.684822,433880000,-35.02,21.93
1742405746.6857293,433882000,-35.30,20.30
1742405746.6870208,433958000,-34.93,22.00
1742405792.5712292,433804000,-40.46,20.59
1742406076.4661994,433124000,-42.81,20.10
1742406161.5945418,434750000,-42.94,20.20
1742406173.365261,433724000,-41.43,20.51
1742406435.1927302,434422000,-32.69,22.25
1742406436.473337,434422000,-34.50,20.20
1742406437.882547,434802000,-43.27,21.59
1742407436.664753,433990000,-43.24,20.22
1742407481.977593,433978000,-42.26,20.24
1742407836.6725147,433752000,-42.08,20.25
1742409406.9742637,434416000,-42.17,20.15
1742409470.9092774,433560000,-42.91,21.27
1742409648.8296678,433480000,-42.67,20.74
1742409773.824878,434080000,-41.81,20.74
1742410697.9221528,435018000,-42.94,20.55
1742411652.6028879,433100000,-42.98,20.15
1742411948.8026583,434348000,-37.73,23.49
1742412505.2306626,434782000,-44.88,20.14
1742412859.6019547,434710000,-41.28,20.74
1742413241.7253573,433102000,-43.24,21.42
1742414909.2074618,434978000,-43.43,20.22
1742416446.2864537,433924000,-41.72,20.02
1742416749.7074718,434714000,-49.08,20.73
1742416777.2899358,433236000,-47.99,20.63
1742417201.0961828,433692000,-46.10,21.16
1742417236.68272,434236000,-44.13,20.14
